Poin Count,Result,Actual
10, 473.200, 530.929
100, 500.240, 530.929
1000, 520.520, 530.929
10000, 530.592, 530.929
100000, 530.924, 530.929
1000000, 530.839, 530.929
10000000, 530.504, 530.929
100000000, 530.765, 530.929
10, 676.000, 530.929
100, 547.560, 530.929
1000, 538.096, 530.929
10000, 530.930, 530.929
100000, 529.788, 530.929
1000000, 531.051, 530.929
10000000, 530.623, 530.929
100000000, 530.756, 530.929
10, 540.800, 530.929
100, 513.760, 530.929
1000, 532.688, 530.929
10000, 533.770, 530.929
100000, 531.093, 530.929
1000000, 530.324, 530.929
10000000, 530.812, 530.929
100000000, 530.774, 530.929
10, 473.200, 530.929
100, 540.800, 530.929
1000, 523.224, 530.929
10000, 533.837, 530.929
100000, 532.519, 530.929
1000000, 530.726, 530.929
10000000, 530.668, 530.929
100000000, 530.788, 530.929
10, 405.600, 530.929
100, 547.560, 530.929
1000, 517.140, 530.929
10000, 529.781, 530.929
100000, 531.343, 530.929
1000000, 530.821, 530.929
10000000, 530.724, 530.929
100000000, 530.777, 530.929
10, 608.400, 530.929
100, 500.240, 530.929
1000, 540.800, 530.929
10000, 531.606, 530.929
100000, 529.626, 530.929
1000000, 530.994, 530.929
10000000, 530.897, 530.929
100000000, 530.776, 530.929
10, 540.800, 530.929
100, 567.840, 530.929
1000, 536.744, 530.929
10000, 530.795, 530.929
100000, 532.127, 530.929
1000000, 530.905, 530.929
10000000, 530.752, 530.929
100000000, 530.729, 530.929
10, 540.800, 530.929
100, 540.800, 530.929
1000, 532.688, 530.929
10000, 530.254, 530.929
100000, 530.768, 530.929
1000000, 531.016, 530.929
10000000, 530.732, 530.929
100000000, 530.800, 530.929
10, 473.200, 530.929
100, 513.760, 530.929
1000, 529.984, 530.929
10000, 534.784, 530.929
100000, 532.647, 530.929
1000000, 530.795, 530.929
10000000, 530.697, 530.929
100000000, 530.735, 530.929
10, 540.800, 530.929
100, 534.040, 530.929
1000, 540.124, 530.929
10000, 529.308, 530.929
100000, 530.457, 530.929
1000000, 531.058, 530.929
10000000, 530.764, 530.929
100000000, 530.816, 530.929
10, 540.800, 530.929
100, 561.080, 530.929
1000, 523.900, 530.929
10000, 535.798, 530.929
100000, 532.431, 530.929
1000000, 530.890, 530.929
10000000, 530.768, 530.929
100000000, 530.790, 530.929
10, 473.200, 530.929
100, 507.000, 530.929
1000, 520.520, 530.929
10000, 533.161, 530.929
100000, 531.350, 530.929
1000000, 530.843, 530.929
10000000, 530.804, 530.929
100000000, 530.798, 530.929
10, 473.200, 530.929
100, 500.240, 530.929
1000, 527.956, 530.929
10000, 528.700, 530.929
100000, 530.444, 530.929
1000000, 530.644, 530.929
10000000, 530.806, 530.929
100000000, 530.749, 530.929
10, 608.400, 530.929
100, 479.960, 530.929
1000, 522.548, 530.929
10000, 534.243, 530.929
100000, 530.640, 530.929
1000000, 530.565, 530.929
10000000, 530.722, 530.929
100000000, 530.807, 530.929
10, 540.800, 530.929
100, 527.280, 530.929
1000, 542.828, 530.929
10000, 530.930, 530.929
100000, 531.491, 530.929
1000000, 531.054, 530.929
10000000, 530.931, 530.929
100000000, 530.770, 530.929
10, 540.800, 530.929
100, 520.520, 530.929
1000, 536.744, 530.929
10000, 531.606, 530.929
100000, 530.552, 530.929
1000000, 531.036, 530.929
10000000, 530.673, 530.929
100000000, 530.773, 530.929
10, 676.000, 530.929
100, 527.280, 530.929
1000, 550.940, 530.929
10000, 527.415, 530.929
100000, 531.194, 530.929
1000000, 531.231, 530.929
10000000, 530.686, 530.929
100000000, 530.792, 530.929
10, 676.000, 530.929
100, 520.520, 530.929
1000, 536.744, 530.929
10000, 532.958, 530.929
100000, 530.085, 530.929
1000000, 530.837, 530.929
10000000, 530.625, 530.929
100000000, 530.759, 530.929
10, 473.200, 530.929
100, 594.880, 530.929
1000, 521.196, 530.929
10000, 532.553, 530.929
100000, 530.721, 530.929
1000000, 530.625, 530.929
10000000, 530.782, 530.929
100000000, 530.774, 530.929
10, 676.000, 530.929
100, 581.360, 530.929
1000, 529.308, 530.929
10000, 529.443, 530.929
100000, 531.174, 530.929
1000000, 531.190, 530.929
10000000, 530.711, 530.929
100000000, 530.773, 530.929
10, 608.400, 530.929
100, 507.000, 530.929
1000, 530.660, 530.929
10000, 534.581, 530.929
100000, 531.316, 530.929
1000000, 530.884, 530.929
10000000, 530.872, 530.929
100000000, 530.759, 530.929
10, 608.400, 530.929
100, 493.480, 530.929
1000, 546.208, 530.929
10000, 530.457, 530.929
100000, 529.173, 530.929
1000000, 530.888, 530.929
10000000, 530.831, 530.929
100000000, 530.835, 530.929
10, 540.800, 530.929
100, 540.800, 530.929
1000, 532.012, 530.929
10000, 529.781, 530.929
100000, 532.411, 530.929
1000000, 531.308, 530.929
10000000, 530.755, 530.929
100000000, 530.789, 530.929
10, 608.400, 530.929
100, 513.760, 530.929
1000, 542.152, 530.929
10000, 528.970, 530.929
100000, 530.139, 530.929
1000000, 530.755, 530.929
10000000, 530.632, 530.929
100000000, 530.755, 530.929
10, 405.600, 530.929
100, 540.800, 530.929
1000, 527.280, 530.929
10000, 531.809, 530.929
100000, 530.430, 530.929
1000000, 530.418, 530.929
10000000, 530.755, 530.929
100000000, 530.811, 530.929
10, 473.200, 530.929
100, 500.240, 530.929
1000, 549.588, 530.929
10000, 529.105, 530.929
100000, 531.559, 530.929
1000000, 530.711, 530.929
10000000, 530.833, 530.929
100000000, 530.795, 530.929
10, 676.000, 530.929
100, 520.520, 530.929
1000, 534.040, 530.929
10000, 529.240, 530.929
100000, 530.532, 530.929
1000000, 530.662, 530.929
10000000, 531.007, 530.929
100000000, 530.784, 530.929
10, 608.400, 530.929
100, 561.080, 530.929
1000, 533.364, 530.929
10000, 526.604, 530.929
100000, 532.201, 530.929
1000000, 530.676, 530.929
10000000, 530.771, 530.929
100000000, 530.706, 530.929
10, 405.600, 530.929
100, 547.560, 530.929
1000, 531.336, 530.929
10000, 531.944, 530.929
100000, 530.471, 530.929
1000000, 530.913, 530.929
10000000, 530.825, 530.929
100000000, 530.744, 530.929
10, 405.600, 530.929
100, 540.800, 530.929
1000, 517.140, 530.929
10000, 531.674, 530.929
100000, 530.227, 530.929
1000000, 530.542, 530.929
10000000, 530.787, 530.929
100000000, 530.739, 530.929
