count, probability, error, errorPercentage, actual, 90% of actual, 110% of actual, 80% of actual, 120% of actual
1,0,-2.14E-05,-100.00%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
400001,2.05E-05,-9.34E-07,-4.36%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
800001,0.0000235,2.07E-06,9.64%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
1200001,0.0000215,6.65E-08,0.31%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
1600001,0.00001975,-1.68E-06,-7.85%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
2000001,0.0000217,2.67E-07,1.24%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
2400001,0.00002175,3.17E-07,1.48%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
2800001,2.12E-05,-2.19E-07,-1.02%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
3200001,2.36E-05,0.000002129,9.93%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
3600001,2.22E-05,7.89E-07,3.68%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
4000001,0.00002245,1.02E-06,4.74%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
4400001,2.18E-05,3.85E-07,1.80%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
4800001,0.00002125,-1.84E-07,-0.86%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
5200001,2.19E-05,4.90E-07,2.28%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
5600001,2.08E-05,-6.48E-07,-3.02%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
6000001,2.04E-05,-1.07E-06,-4.98%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
6400001,0.00002175,3.17E-07,1.48%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
6800001,2.30E-05,1.54E-06,7.17%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
7200001,2.26E-05,1.15E-06,5.37%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
7600001,2.21E-05,6.46E-07,3.01%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
8000001,0.000022025,5.92E-07,2.76%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
8400001,2.26E-05,1.21E-06,5.64%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
8800001,2.09E-05,-5.70E-07,-2.66%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
9200001,2.18E-05,3.93E-07,1.83%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
9600001,2.23E-05,0.000000879,4.10%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
10000001,0.00002208,6.47E-07,3.02%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
10400001,2.17E-05,2.40E-07,1.12%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
10800001,2.07E-05,-6.93E-07,-3.23%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
11200001,2.14E-05,-4.90E-09,-0.02%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
11600001,2.17E-05,2.22E-07,1.03%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
12000001,0.00002205,6.17E-07,2.88%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
12400001,0.000021629,1.96E-07,0.91%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
12800001,2.23E-05,8.95E-07,4.17%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
13200001,2.11E-05,-2.97E-07,-1.39%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
13600001,0.00002175,3.17E-07,1.48%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
14000001,2.14E-05,9.40E-09,0.04%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
14400001,2.18E-05,3.72E-07,1.74%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
14800001,2.13E-05,-1.09E-07,-0.51%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
15200001,2.22E-05,7.90E-07,3.69%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
15600001,2.19E-05,0.000000464,2.17%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
16000001,0.000020825,-6.09E-07,-2.84%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
16400001,2.21E-05,7.13E-07,3.33%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
16800001,2.15E-05,3.08E-08,0.14%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
17200001,2.25E-05,1.04E-06,4.87%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
17600001,2.05E-05,-9.45E-07,-4.41%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
18000001,2.20E-05,6.00E-07,2.80%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
18400001,2.10E-05,-4.23E-07,-1.97%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
18800001,2.17E-05,2.69E-07,1.25%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
19200001,2.11E-05,-2.88E-07,-1.34%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
19600001,2.08E-05,-6.48E-07,-3.02%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
20000001,0.00002151,7.65E-08,0.36%,2.14E-05,1.93E-05,2.36E-05,1.71E-05,2.57E-05
